option,year,net_sales,dtc_sales,wholesale_sales,gross_profit,gross_margin,operating_profit,inventory_support,receivable_support,payable_offset,working_capital,net_cash,cumulative_cash
option_2,1,9403763,5262304,3590335,5175334,0.5503,-4893494,940376,150460,357343,733494,-8626987,-8626987
option_2,2,34093840,17409087,13789993,18646593,0.5469,7316417,3341196,613689,1363754,2591132,2725285,-5901702
option_2,3,59356440,27385301,25484659,32241993,0.5432,16658427,5638862,1187129,2433614,4392377,10766051,4864349
option_2,4,79775955,33488910,36339030,42898060,0.5377,24703542,7419164,1755071,3430366,5743869,17459673,22324022
option_2,5,104044493,41012275,48406426,55185538,0.5304,31960462,9364004,2497068,4682002,7179070,23281392,45605414
option_1,1,6156000,,,,,-17261280,,,,,-17261280,-17261280
option_1,2,16416000,,,,,-7701760,,,,,-7701760,-24963040
option_1,3,30412800,,,,,-1829824,,,,,-1829824,-26792864
option_1,4,49766400,,,,,3957952,,,,,3957952,-22834912
option_1,5,81712800,,,,,12342560,,,,,12342560,-10492352
option_3,1,8925000,,,,,-4858000,,,,,-4858000,-4858000
option_3,2,17172000,,,,,464720,,,,,464720,-4393280
option_3,3,29030400,,,,,5838208,,,,,5838208,1444928
option_3,4,42248400,,,,,10329552,,,,,10329552,11774480
option_3,5,59400000,,,,,15726000,,,,,15726000,27500480
